,X,steering_angles,travelled_dist,y
10,"['CH3_001_output/center/1479421442947890488.jpg', 'CH3_001_output/center/1479421443197967061.jpg', 'CH3_001_output/center/1479421443448001220.jpg']","[0.0486378811441, 0.0506145469844, 0.0455682711772, 0.0446038765037, 0.04363323003050001, 0.0411582115285, 0.03528110859519999, 0.022193625997799997, 0.012350981864700001, 0.00449976276673, -0.0014397037664500001, -0.0069813169539, -0.0069813169539, -0.008726646192370001, -0.008726646192370001, -0.00804328918142, -0.008726646192370001, -0.0069813169539, -0.0069813169539, -0.0069813169539, -0.0069813169539, -0.00447377226125, 0.0015152464449599999, 0.004180358370949999, 0.0069813169539]","[0.0, 3.6132951917374028, 7.141657234568268, 7.938801545298096, 8.363449542918666, 9.160593794142098, 10.020835695973666, 10.761128279158703, 11.558272414669975, 12.355491358982865, 12.780139357086531, 13.57728340618901, 14.374427425542088, 14.903715138839663, 15.908575746280649, 16.70571964930132, 17.13036764803754, 17.927586330725063, 18.724730144663717, 19.14937814262932, 19.94652190060961, 21.031203968583924, 21.455851966434178, 22.25299560822282, 23.050139219220384, 23.474787218039324, 24.27200560957168]","[146, 146, 146, 145, 145, 145, 144, 143, 142, 141, 141, 140, 140, 140, 140, 140, 140, 140, 140, 140, 140, 140, 141, 141, 142]"
11,"['CH3_001_output/center/1479421447248168503.jpg', 'CH3_001_output/center/1479421447498015145.jpg', 'CH3_001_output/center/1479421447698069722.jpg']","[0.00523598771542, 0.00523598771542, 0.00523598771542, 0.00523598771542, 0.00523598771542, 0.0042344337569399995, 0.00349065847695, 0.00250144436305, 0.00174532923847, 0.00174532923847, 0.0, 0.0, -7.38694094953e-05, -0.00349065847695, -0.00349065847695, -0.00349065847695, -0.00349065847695, -0.00439613707876, -0.00523598771542, -0.00523598771542, -0.0069813169539, -0.008726646192370001, -0.0104752310597, -0.012217304669299999, -0.012217304669299999]","[0.0, 4.038012273582385, 7.141643508568578, 7.566291507261146, 8.363432881048418, 9.160643133413409, 10.166189760838146, 10.612165951299852, 11.409307180391565, 12.206523218093906, 12.63117121670877, 13.715796378488509, 14.513012299455996, 15.310153352666383, 15.734801349783071, 16.8194264063345, 17.61664218106815, 18.041290180699956, 18.838431061204506, 19.672740694805757, 20.70641583760349, 21.131063836558315, 21.928204569384423, 22.725420113098043, 23.579510871618393, 24.301775282606382, 25.098990709726163]","[141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 140, 140, 140, 140, 140, 140, 140, 140]"
12,"['CH3_001_output/center/1479421449698147888.jpg', 'CH3_001_output/center/1479421449948232594.jpg', 'CH3_001_output/center/1479421450198282459.jpg']","[-0.00523598771542, -0.00592631214376, -0.00523598771542, -0.00523598771542, -0.00523598771542, -0.00258336306968, 0.00152648547108, 0.00174532923847, 0.00174532923847, 0.00174532923847, 0.00174532923847, 0.00174532923847, 0.00174532923847, 0.00174532923847, 0.00496881061142, 0.007578880936680001, 0.0138853588057, 0.0145490220037, 0.0157079640776, 0.018021173936299997, 0.0255720203448, 0.0319836348372, 0.0345865356993, 0.0366519130766, 0.0398097503255]","[0.0, 3.6274957909817305, 7.76550526397562, 8.562644864503739, 8.987292861757169, 9.858036738039944, 10.84726980501193, 11.644484097572738, 12.069132096258997, 13.153755976492683, 13.9508953163693, 14.748109464528547, 15.17275746216865, 16.25737251945134, 17.054586550764828, 17.851725716706994, 18.276373715259776, 19.360997382683227, 20.15821126824703, 20.582859267315715, 21.379998256276338, 22.46467681916383, 23.26181572248246, 23.68646372094422, 24.483602567547326, 25.568281023251956, 26.365419781258854]","[140, 140, 140, 140, 140, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 142, 142, 142, 143, 143, 144, 144, 144, 145, 145]"
13,"['CH3_001_output/center/1479421452148571460.jpg', 'CH3_001_output/center/1479421452398656033.jpg', 'CH3_001_output/center/1479421452648731609.jpg']","[-0.026179939508400002, -0.026179939508400002, -0.0279252678156, -0.026179939508400002, -0.026179939508400002, -0.024963443129500003, -0.020285318346400003, -0.00202294752748, 0.014278188668400001, 0.0186700643684, 0.0226892810315, 0.025604147164699997, 0.026179939508400002, 0.026179939508400002, 0.026179939508400002, 0.0279252678156, 0.0279252678156, 0.022769371461099995, 0.007641836942209999, -0.005770670559939999, -0.0139626339078, -0.0139626339078, -0.0157079640776, -0.0157079640776, -0.0154902390202]","[0.0, 3.5283162330565006, 7.716560532394758, 8.513773169190491, 9.310910939114649, 9.735558937239865, 10.820181577050587, 11.617394067928592, 12.41453169439893, 12.839179693657094, 13.92385723061835, 14.720994737359975, 15.518132217422378, 16.155042988438957, 17.082961493883786, 17.880098858520636, 18.677311028237163, 19.526607025817622, 20.323744270501777, 21.12088149104057, 21.91809351635631, 22.76738951287501, 23.56452661278418, 24.361732592091556, 24.921995363329128, 25.825805315133124, 26.622942270491873]","[138, 138, 138, 138, 138, 138, 139, 141, 142, 143, 143, 144, 144, 144, 144, 144, 144, 143, 142, 140, 140, 140, 139, 139, 139]"
14,"['CH3_001_output/center/1479421454598937471.jpg', 'CH3_001_output/center/1479421454848988957.jpg', 'CH3_001_output/center/1479421455048970211.jpg']","[-0.00523598771542, -0.00523598771542, -0.00349065847695, -0.00349065847695, -0.00349065847695, -0.0026034802878, -0.00174532923847, -0.00174532923847, -0.00348370399715, -0.00523598771542, -0.00523598771542, -0.00523598771542, -0.00523598771542, -0.00523598771542, -0.00523598771542, -0.00605308756072, -0.0069813169539, -0.007775519003749999, -0.0104001997996, -0.012217304669299999, -0.0139626339078, -0.0139626339078, -0.0157079640776, -0.0157079640776, -0.0157079640776]","[0.0, 3.76420126778921, 7.018836660959735, 7.81604159571772, 8.384750959694644, 8.902564764359884, 9.987241105190042, 10.784376983753887, 11.581512833924586, 12.311564083107706, 13.178188653917823, 13.975324387625978, 14.66419063446092, 15.523727448847929, 16.320863068287085, 17.11799865890906, 17.70959154319019, 18.598619292423173, 19.395754764276305, 20.19296504512517, 20.617613041822832, 21.702233974651374, 22.499369303251775, 23.296579441451783, 23.97763926638674, 24.8757541081833, 25.67296412717935]","[140, 140, 141, 141, 141, 141, 141, 141, 141, 140, 140, 140, 140, 140, 140, 140, 140, 140, 140, 140, 140, 140, 139, 139, 139]"
15,"['CH3_001_output/center/1479421457049922768.jpg', 'CH3_001_output/center/1479421457299423644.jpg', 'CH3_001_output/center/1479421457549449974.jpg']","[-0.0191986225545, -0.0191986225545, -0.0209439508617, -0.0226892810315, -0.0226892810315, -0.0209439508617, -0.0209439508617, -0.0209439508617, -0.0209439508617, -0.0221487774519, -0.0209439508617, -0.0232008833917, -0.024434609338599998, -0.026179939508400002, -0.026179939508400002, -0.026179939508400002, -0.026179939508400002, -0.026179939508400002, -0.026179939508400002, -0.026179939508400002, -0.026179939508400002, -0.026179939508400002, -0.026179939508400002, -0.026179939508400002, -0.026179939508400002]","[0.0, 3.528260094688621, 7.429080885215429, 8.135198582983184, 9.016971606105404, 9.814180578880295, 10.611314684472731, 11.035962682665104, 12.120637634983476, 12.917771625747868, 13.34241962467753, 14.139553558194955, 15.224219686996708, 15.853447512208897, 16.327307392737048, 17.124516017365362, 18.209135753328745, 18.633783752253123, 19.430917422823207, 20.22812590080994, 21.07742189614956, 21.87455545270688, 22.671763814980007, 23.096411811765183, 23.89354528285362, 24.978164782312145, 25.402812781135054]","[139, 139, 139, 139, 139, 139, 139, 139, 139, 139, 139, 139, 138, 138, 138, 138, 138, 138, 138, 138, 138, 138, 138, 138, 138]"
16,"['CH3_001_output/center/1479421459599808785.jpg', 'CH3_001_output/center/1479421459849845014.jpg', 'CH3_001_output/center/1479421460099854442.jpg']","[-0.069813169539, -0.069813169539, -0.069813169539, -0.069813169539, -0.0713266727554, -0.0709065210926, -0.07155849784610001, -0.07155849784610001, -0.07155849784610001, -0.07155849784610001, -0.07155849784610001, -0.069813169539, -0.069813169539, -0.0670249003298, -0.06271079334530001, -0.05934119597080001, -0.05934119597080001, -0.05934119597080001, -0.05934119597080001, -0.05934119597080001, -0.05934119597080001, -0.05934119597080001, -0.0558505356312, -0.0558505356312, -0.0558505356312]","[0.0, 3.578454568253421, 7.243870895734482, 8.328544650855527, 8.753192648539962, 9.550324983219424, 10.34753212477423, 10.77218012291049, 11.569312368577577, 12.41860836473646, 13.215740524363179, 14.012947491268113, 14.437595489798674, 15.234727563140474, 15.65937556209415, 16.469300929056914, 17.528067501641, 17.962567218737533, 18.759699117167525, 19.18434711399644, 19.981553788794606, 20.778685600265657, 21.203333598956032, 22.005921637054552, 22.833844415006343, 23.63707630041388, 24.06174212269372]","[134, 134, 134, 134, 134, 134, 134, 134, 134, 134, 134, 134, 134, 134, 135, 135, 135, 135, 135, 135, 135, 135, 135, 135, 135]"
17,"['CH3_001_output/center/1479421462400349294.jpg', 'CH3_001_output/center/1479421462700353428.jpg', 'CH3_001_output/center/1479421463050388611.jpg']","[-0.07679449021819999, -0.0684840369669, -0.06457718461749999, -0.0594842922076, -0.05934119597080001, -0.05934119597080001, -0.0618883277079, -0.0630104886062, -0.0614759138792, -0.0558505356312, -0.0492824376209, -0.0375077776876, -0.011623835760200001, 0.022494985619999998, 0.0628940597256, 0.11741107827500001, 0.171577135071, 0.21720003169500002, 0.23448703693700002, 0.234136102114, 0.222745326406, 0.203837354734, 0.183255010886, 0.100120116841, 0.0301464500372]","[0.0, 3.665411562037137, 7.331794791612955, 8.104608083812614, 8.529256081722295, 9.326461480427334, 9.751109479021054, 10.548239981825242, 10.972887980103566, 11.64758076941591, 12.072228767722194, 12.496876765835532, 13.294007152324106, 13.718655151121515, 14.515785480308681, 14.515785480308681, 14.94043347794168, 15.737638583896821, 16.16228658221391, 16.959416792946065, 16.959416792946065, 17.384064790468663, 18.18126978164216, 18.605917778999824, 19.40304787513216, 20.624825909844706, 21.422030755086993]","[133, 134, 134, 135, 135, 135, 135, 135, 135, 135, 136, 137, 140, 143, 147, 153, 158, 163, -1, -1, 163, 161, 159, 151, 144]"
18,"['CH3_001_output/center/1479421466200972607.jpg', 'CH3_001_output/center/1479421466651102093.jpg', 'CH3_001_output/center/1479421467101167370.jpg']","[-0.026851617515799998, -0.0226892810315, -0.0209439508617, -0.0209439508617, -0.0209439508617, -0.0226892810315, -0.0265003706406, -0.033472801221, -0.0431996778958, -0.056371014568099995, -0.07208104267639999, -0.0875245758377, -0.0989810228445, -0.108444837113, -0.111701071262, -0.10995574295499999, -0.10995574295499999, -0.10464912501700001, -0.0837699335335, -0.07679449021819999, -0.07679449021819999, -0.0367774273308, -0.027839696760000004, -0.0399493599733, -0.0523598790169]","[0.0, 3.967528020622812, 7.137940100858614, 7.137940100858614, 7.562588098479789, 8.23719064028078, 8.661838638669881, 8.661838638669881, 9.086486636824988, 9.883615485623473, 9.883615485623473, 10.30826348224453, 10.30826348224453, 11.105467106226154, 11.105467106226154, 11.530115103052417, 12.32724383351076, 13.635366940385678, 14.060014938580679, 15.159265101864005, 16.008549966218187, 16.683152058634107, 17.532448054542552, 18.754299357367977, 19.85354928074345, 20.2781972784158, 21.377447135954576]","[138, 139, 139, 139, 139, 139, 138, 138, 137, 135, 134, 132, 131, 130, 130, 130, 130, 130, 133, 133, 133, 137, 138, 137, 136]"
19,"['CH3_001_output/center/1479421485204294712.jpg', 'CH3_001_output/center/1479421486054419142.jpg', 'CH3_001_output/center/1479421486605538606.jpg']","[0.0401425734162, 0.038397245109099996, 0.0366519130766, 0.0349065847695, 0.033161256462300004, 0.0314159281552, 0.029670597985400005, 0.028581237713599997, 0.024032254000300002, 0.013571215817400001, -0.00511986724484, -0.027990497485, -0.0536245466936, -0.07854766112639999, -0.0928379166274, -0.101229093969, -0.101229093969, -0.101229093969, -0.101229093969, -0.101229093969, -0.101229093969, -0.09419730202580001, -0.08546199249309999, -0.0653986426463, -0.052322695712599995]","[0.0, 3.897167206014337, 7.06756231470457, 7.742163005287, 8.166811003156646, 8.166811003156646, 8.591459000833549, 8.591459000833549, 9.38858627609693, 9.813234274978742, 9.813234274978742, 10.61043632840428, 10.61043632840428, 11.035084326601366, 11.459732325824662, 12.134332773895615, 12.558980771407988, 13.780830678185435, 14.20547867671002, 15.002605692745432, 15.85190168856224, 16.649028615126422, 17.87087831780101, 19.092653127730966, 19.51730112680263, 20.61663751652176, 21.04128551568972]","[145, 145, 145, 144, 144, 144, 144, 144, 143, 142, 140, 138, 136, 133, 132, 131, 131, 131, 131, 131, 131, 131, 132, 134, 136]"
20,"['CH3_001_output/center/1479421489905172699.jpg', 'CH3_001_output/center/1479421490255272846.jpg', 'CH3_001_output/center/1479421490605302856.jpg']","[-0.0226892810315, -0.025018972330800002, -0.0279252678156, -0.0279252678156, -0.0264880213904, -0.0273790153918, -0.026179939508400002, -0.0256371627472, -0.024434609338599998, -0.0251515942892, -0.0209439508617, -0.0186930806589, -0.0157079640776, -0.0157079640776, -0.0125180347479, -0.00773600261422, 0.00135891746044, 0.00968413647205, 0.0180060015281, 0.021409378184500002, 0.0226892810315, 0.0226892810315, 0.0226892810315, 0.0226892810315, 0.0226892810315]","[0.0, 4.0702387309665005, 7.738204334494844, 8.58442793027229, 9.376973523763152, 9.81027099573239, 10.234918993744635, 11.032044323629757, 11.456692320697938, 12.253892426878144, 12.678540424932084, 13.103188423272568, 13.900313605604087, 14.324961602781038, 15.122161562970371, 15.546809560462403, 16.343934628790603, 16.768582627118025, 17.56570763635106, 17.99035563562412, 18.41500363314369, 19.213665451770368, 20.0602230044592, 20.857347839619216, 21.28199583824715, 22.079195449347242, 22.503843447770993]","[139, 138, 138, 138, 138, 138, 138, 138, 138, 138, 139, 139, 139, 139, 140, 140, 141, 142, 143, 143, 143, 143, 143, 143, 143]"
21,"['CH3_001_output/center/1479421492955674239.jpg', 'CH3_001_output/center/1479421493205704497.jpg', 'CH3_001_output/center/1479421493505752906.jpg']","[0.051692506213499995, 0.0566669191873, 0.069130372805, 0.0738586448325, 0.0683797721535, 0.0553151449047, 0.0377305634249, 0.0312532127796, 0.0269018690396, 0.026030393937400004, 0.021676960487, 0.0139626339078, 0.0111654130322, 0.00523598771542, 0.0024504559911100003, 0.00174532923847, 0.00174532923847, 0.00174532923847, 0.00174532923847, -0.000110373656521, -0.0027060521180700004, -0.00349065847695, -0.00442847161817, -0.00349065847695, -0.00349065847695]","[0.0, 3.6653904256843775, 7.755428211356358, 8.60472420745506, 9.401922539539857, 9.826570538472902, 10.647860174782277, 11.45336333754457, 12.250486690277485, 12.675134688279442, 13.759793017282067, 14.184441016667025, 14.981564222522902, 15.406212219854465, 16.490879159435867, 17.288002251854316, 17.71265025044725, 18.50977328207996, 19.359069278334893, 20.156267058126787, 20.58091505515924, 21.66552680311708, 22.090174800642437, 22.887372435597698, 23.31202043332927, 24.39663207211608, 24.82128007134004]","[146, 147, 148, 148, 148, 146, 145, 144, 144, 144, 143, 142, 142, 141, 141, 141, 141, 141, 141, 141, 141, 141, 140, 141, 141]"
