,X,steering_angles,travelled_dist,y
10,"['CH3_002_output/center/1480702591700087708.jpg', 'CH3_002_output/center/1480702592100184945.jpg', 'CH3_002_output/center/1480702592550477188.jpg']","[0.046016992138400006, 0.045378562063, 0.045378562063, 0.045378562063, 0.0471238903701, 0.0471238903701, 0.0460816253591, 0.045378562063, 0.0464089320214, 0.0471238903701, 0.046104608280100004, 0.0471238903701, 0.04611578110780001, 0.0455080246359, 0.0471238903701, 0.0471238903701, 0.0533255559359, 0.0691816173885, 0.125896209026, 0.143334774906, 0.143968314008, 0.11951611197499999, 0.120427720249, 0.120427720249, 0.120427720249]","[0.0, 3.967770878516572, 7.510819457398762, 7.9354674546416, 8.360115452970675, 8.360115452970675, 9.157293450168714, 9.157293450168714, 9.581941448558835, 10.256690468182596, 10.681338466247444, 10.681338466247444, 11.105986464178356, 11.780647117082616, 12.205295116947783, 12.205295116947783, 12.629943114420687, 13.304603840047527, 14.153899836358015, 15.253297060095939, 16.35260591755528, 16.777253914455173, 17.830935902235346, 19.052837118916287, 19.47748511715858, 20.576794178903725, 21.001442176837212]","[835, 835, 835, 835, 835, 835, 835, 835, 835, 835, 835, 835, 835, 835, 835, 835, 835, 837, 843, 844, 845, 842, 842, 842, 842]"
11,"['CH3_002_output/center/1480702675265199007.jpg', 'CH3_002_output/center/1480702676165340810.jpg', 'CH3_002_output/center/1480702676865375427.jpg']","[-0.711170867756, -0.794713639628, -0.8795235546600001, -0.968089217911, -1.05808394504, -1.15946156932, -1.28290342797, -1.42579047606, -1.5816982880300001, -1.74339022227, -1.89683281882, -2.02705115934, -2.12945282532, -2.8285339966400005, -3.33111021855, -3.40860904169, -3.3677853400499997, -3.26168904351, -3.1016874323400003, -3.14589520978, -3.15797416608, -3.1536180187, -3.1151053156099997, -3.1101768016799998, -3.1136674881]","[0.0, 4.269830147789185, 7.138206839948946, 7.138206839948946, 7.138206839948946, 7.935385854307319, 7.935385854307319, 7.935385854307319, 8.360033852692844, 8.360033852692844, 9.034784074221577, 9.459432073431678, 9.459432073431678, 9.884080070728709, 10.558741928005341, 11.780569085825649, 12.879967476703888, 13.304615473821757, 14.40392546500402, 15.078675927242495, 16.17798598802671, 17.277296080146073, 17.701944079601713, 18.37669464490044, 19.848624607841895, 20.645803998524357, 21.320466199078247]","[759, 751, 742, 733, 724, 714, 702, 687, 672, 656, 640, 627, 617, 547, 497, 489, 493, 504, 520, 515, 514, 515, 518, 519, 519]"
12,"['CH3_002_output/center/1480702681516236918.jpg', 'CH3_002_output/center/1480702681916339230.jpg', 'CH3_002_output/center/1480702682167121982.jpg']","[0.0009499911994860002, 0.0527056869941, 0.10494723470100001, 0.149056213994, 0.19436571267299999, 0.230716477984, 0.255463167852, 0.268780708313, 0.269092258981, 0.266486762983, 0.260368739026, 0.251982903095, 0.243280609453, 0.235255051168, 0.21642236917399998, 0.18336368157400001, 0.14767447525, 0.11927799307, 0.0975567766308, 0.0885242033798, 0.0855211317539, 0.07316251944230001, 0.0501962910403, -0.0350359955428, -0.12895594032299998]","[0.0, 4.172157409024641, 7.168044393909153, 7.168044393909153, 7.965298222309154, 7.965298222309154, 8.762477179214343, 8.762477179214343, 9.559730950202175, 10.234392566552737, 10.659040563622078, 11.45621943119095, 11.45621943119095, 12.253473114626988, 12.928134628208623, 13.352782626752703, 14.027532539270995, 14.8247113203661, 15.249359318432784, 15.924020728951788, 16.34951886613745, 16.99738480460533, 17.794563496785006, 18.591817006795676, 19.3889956423913, 20.202145424922822, 21.67407367347212]","[830, 835, 841, 845, 850, 853, 856, 857, 857, 857, 856, 855, 854, 854, 852, 848, 845, 842, 840, 839, 839, 837, 835, 827, 817]"
13,"['CH3_002_output/center/1480702684866879621.jpg', 'CH3_002_output/center/1480702685167079785.jpg', 'CH3_002_output/center/1480702685418924791.jpg']","[-0.0562082077429, -0.0631955420767, -0.0685736110535, -0.08447217068679999, -0.125532251265, -0.174599428611, -0.21750197172200003, -0.24186937456399998, -0.242042902531, -0.22790636428000002, -0.20396772968199997, -0.19128602699299999, -0.172277059821, -0.149689000196, -0.139533948925, -0.136135682464, -0.134390354156, -0.134390354156, -0.13083261241900002, -0.122069158375, -0.109792082895, -0.0976514107587, -0.08719492126700001, -0.0811190764294, -0.0767629443744]","[0.0, 4.165652714291735, 7.656569555865381, 8.331318297501516, 9.128496091537556, 9.553144089276035, 10.350321825498908, 11.147574375247965, 11.822234547395091, 12.61948706780836, 13.044135065633315, 13.84131268621777, 14.515972754808763, 15.313225188995196, 16.11040274980847, 16.907580282791297, 17.332228279985788, 18.006976646425187, 18.804148188572587, 19.601400477016334, 20.398577894418057, 20.833033958387404, 21.415899696892467, 22.213151898041623, 23.010329226925197, 23.807581369850187, 24.60475863835317]","[825, 824, 823, 822, 818, 813, 808, 806, 806, 807, 810, 811, 813, 815, 816, 817, 817, 817, 817, 818, 819, 820, 821, 822, 822]"
14,"['CH3_002_output/center/1480702687617186277.jpg', 'CH3_002_output/center/1480702687917203399.jpg', 'CH3_002_output/center/1480702688167346428.jpg']","[0.0381248116546, 0.029872682265, 0.0237667162604, 0.0211568901571, 0.0191986225545, 0.0191986225545, 0.0191986225545, 0.0191986225545, 0.0168278847477, 0.0157079640776, 0.0157079640776, 0.0142329545557, 0.0139626339078, 0.012217304669299999, 0.00753980359521, -0.00317575313885, -0.0075535670377200005, -0.008726646192370001, -0.008726646192370001, -0.0101574027334, -0.0180013827155, -0.020615296704599998, -0.0226892810315, -0.024434609338599998, -0.024434609338599998]","[0.0, 4.288163597567468, 7.779163521969414, 8.576340034546664, 8.576340034546664, 9.373516520873208, 10.170767820512603, 10.967944250455437, 11.392581116291685, 12.067239742247178, 12.86449095538224, 13.66166729579738, 14.458918450061859, 14.458918450061859, 15.256094730912405, 16.053270983796267, 16.85052205141639, 17.26551870607159, 17.94024612511445, 18.73749713316364, 19.534673268777716, 19.959321266238003, 20.633979551884735, 21.431230474384524, 22.228406525425438, 22.65305452280102, 23.32780113772293]","[834, 833, 833, 832, 832, 832, 832, 832, 832, 832, 832, 832, 832, 831, 831, 830, 829, 829, 829, 829, 828, 828, 828, 828, 828]"
15,"['CH3_002_output/center/1480702690467600978.jpg', 'CH3_002_output/center/1480702690767522651.jpg', 'CH3_002_output/center/1480702691067794561.jpg']","[-0.101525732029, -0.10238811552000002, -0.10297442227600001, -0.10471975803400001, -0.10471975803400001, -0.10471975803400001, -0.10471975803400001, -0.10471975803400001, -0.10471975803400001, -0.10360471957299999, -0.0975052676636, -0.08920732528030001, -0.0783197141629, -0.0722268607709, -0.06960984222489999, -0.0670014651592, -0.0678789896443, -0.0663225129247, -0.0661441418712, -0.0628318563104, -0.060925914389399996, -0.058309296204500004, -0.0504656766127, -0.0481429358939, -0.056111031339699996]","[0.0, 3.722526778806334, 7.335944923592831, 8.010690611203236, 8.807865818247198, 9.605115838367174, 10.029763837567124, 10.82693895765271, 11.501596072715412, 12.047042998147234, 12.586328915768462, 13.383503949060119, 14.118708798177131, 14.251389730323769, 15.04856470447637, 15.845739650406266, 16.40781043156928, 16.714319899729695, 17.511494787702297, 18.308744488364336, 18.733392486411077, 19.53056728571035, 20.20522402522455, 20.629872023576173, 21.427121608284136, 22.224296319831918, 23.02154584522473]","[820, 820, 820, 820, 820, 820, 820, 820, 820, 820, 820, 821, 822, 823, 823, 823, 823, 824, 824, 824, 824, 824, 825, 825, 825]"
16,"['CH3_002_output/center/1480702693518229506.jpg', 'CH3_002_output/center/1480702693818202844.jpg', 'CH3_002_output/center/1480702694118329971.jpg']","[0.0733038261533, 0.0716718125522, 0.0690640765139, 0.0663225129247, 0.063844385479, 0.0628318563104, 0.062119717208400003, 0.0626710222194, 0.0670298668198, 0.0731431246969, 0.07574790023019999, 0.07679449021819999, 0.07679449021819999, 0.0765959325723, 0.07679449021819999, 0.07679449021819999, 0.07745651206889999, 0.07853981852530001, 0.0796552175627, 0.0800284345075, 0.0802851468325, 0.07879115513860001, 0.0855211317539, 0.0887314015711, 0.08901178836819999]","[0.0, 3.613493803809349, 7.529055578345488, 7.529055578345488, 8.326304232226374, 9.123478015535257, 9.548126013765234, 10.222869949467444, 11.020043674453529, 11.444691672098504, 12.241865336574255, 12.91660916951377, 13.34125716698365, 14.138430775950779, 14.861906143612686, 15.025522582421901, 15.822696133153393, 16.61986965203769, 16.61986965203769, 17.417117987310746, 18.214291447902873, 18.638939447200187, 19.31368300775322, 20.11085641263996, 20.535504410133388, 21.26735049199751, 21.956674910994224]","[837, 837, 837, 837, 837, 836, 836, 836, 837, 837, 838, 838, 838, 838, 838, 838, 838, 838, 838, 838, 838, 838, 839, 839, 839]"
17,"['CH3_002_output/center/1480702696618731766.jpg', 'CH3_002_output/center/1480702696918832668.jpg', 'CH3_002_output/center/1480702697218889853.jpg']","[0.038397245109099996, 0.038397245109099996, 0.038397245109099996, 0.038397245109099996, 0.038397245109099996, 0.0366519130766, 0.0366519130766, 0.0366519130766, 0.036349603809099996, 0.029648434308000002, 0.0125160118506, -0.014475434573600001, -0.0447700509028, -0.0558505356312, -0.0535828794742, -0.0454804970077, -0.035912910438000004, -0.025080677335000003, -0.0189579757434, -0.012401440028, -0.00281196019574, 0.0096236193601, 0.023114228048, 0.0307462652369, 0.0349065847695]","[0.0, 3.5298889226938104, 7.2811051736227315, 7.7057531721691355, 8.380495699448291, 9.177668234656421, 9.602316232768533, 10.276970259924866, 10.701618258688878, 11.498865545843621, 12.173519504229485, 12.598167503038361, 13.395414730680626, 13.395414730680626, 14.192587088567517, 14.989759417675776, 14.989759417675776, 15.787006560453905, 16.11624317647509, 16.797610203599348, 17.594857288046875, 17.594857288046875, 18.392029501979206, 18.81667750016126, 19.491331147037567, 20.28857221559592, 21.38787379165972]","[834, 834, 834, 834, 834, 834, 834, 834, 834, 833, 831, 829, 826, 825, 825, 826, 827, 828, 828, 829, 830, 831, 832, 833, 834]"
18,"['CH3_002_output/center/1480702699969302036.jpg', 'CH3_002_output/center/1480702700269398088.jpg', 'CH3_002_output/center/1480702700569432655.jpg']","[0.0164934096953, 0.0174532923847, 0.018231235966, 0.0191986225545, 0.0174532923847, 0.0174532923847, 0.0167012592453, 0.0173210833863, 0.0174532923847, 0.0191986225545, 0.0209439508617, 0.0193653348371, 0.0191986225545, 0.0191986225545, 0.0191986225545, 0.019405866805599997, 0.0209439508617, 0.0209439508617, 0.0209439508617, 0.0226892810315, 0.0226892810315, 0.0226892810315, 0.0226892810315, 0.0226892810315, 0.0226892810315]","[0.0, 3.670514588932501, 7.030834882953304, 7.70548757034433, 8.130135567456342, 8.91450093814623, 8.939057875192944, 9.73630400112808, 9.73630400112808, 10.53347525445247, 11.16789095708527, 11.594449336654389, 12.39162053306454, 12.39162053306454, 13.188791700246801, 13.188791700246801, 13.98603768054463, 13.98603768054463, 14.783202859620868, 15.207850857129335, 15.882591633539716, 16.679762682030784, 17.892108467967756, 18.566915638899093, 19.419128124450424, 20.51851672734021, 21.74033560229712]","[832, 832, 832, 832, 832, 832, 832, 832, 832, 832, 832, 832, 832, 832, 832, 832, 832, 832, 832, 832, 832, 832, 832, 832, 832]"
19,"['CH3_002_output/center/1480702703620127295.jpg', 'CH3_002_output/center/1480702704020550649.jpg', 'CH3_002_output/center/1480702704420363700.jpg']","[0.0104719754308, 0.0104719754308, 0.0104719754308, 0.0101947990139, 0.006441820717140001, 0.0012313491980399998, -0.0057486014298, -0.0104719754308, -0.0144569043967, -0.0157079640776, -0.0157079640776, -0.0157079640776, -0.0167921892581, -0.0191986225545, -0.0209439508617, -0.0209439508617, -0.0209439508617, -0.0209439508617, -0.0209439508617, -0.019913111193599998, -0.00944135167293, -0.000742653038332, 0.00349065847695, 0.0018541451736500002, 0.00349065847695]","[0.0, 3.6134039616612754, 7.406506072911125, 7.831154071139638, 8.505805246989619, 8.930453245391279, 9.605192816237162, 10.029829682079411, 10.7044807904447, 11.129128788782765, 11.803779864442099, 12.228427862583402, 12.923663406719793, 13.180743146744087, 13.97791306519136, 13.97791306519136, 14.7751577949837, 14.7751577949837, 15.572327653370962, 15.572327653370962, 16.36949748269805, 17.166742124957707, 17.963911895349888, 18.76115648015366, 19.268532908706696, 20.78659682331426, 21.038388919809123]","[831, 831, 831, 831, 831, 830, 830, 829, 829, 829, 829, 829, 828, 828, 828, 828, 828, 828, 828, 828, 829, 830, 830, 830, 830]"
20,"['CH3_002_output/center/1480702707821129039.jpg', 'CH3_002_output/center/1480702708270993764.jpg', 'CH3_002_output/center/1480702708771133603.jpg']","[-0.008726646192370001, -0.008726646192370001, -0.0101791968418, -0.0104719754308, -0.0104719754308, -0.0104719754308, -0.0104719754308, -0.0104719754308, -0.0104719754308, -0.009939986786559999, -0.008726646192370001, -0.00925138016279, -0.0104719754308, -0.0104719754308, -0.0104719754308, -0.0104719754308, -0.0104719754308, -0.012217304669299999, -0.012217304669299999, -0.012217304669299999, -0.012217304669299999, -0.012217304669299999, -0.012628796912, -0.0139626339078, -0.0139626339078]","[0.0, 3.915610273748536, 7.406577945700756, 7.831225944858249, 8.505875610105194, 8.505875610105194, 8.930523607067299, 9.60517323832483, 10.02982123667926, 10.704559264712177, 11.12920726256933, 11.12920726256933, 11.926375957583705, 11.926375957583705, 12.601113916849023, 13.025761914793339, 13.025761914793339, 13.822930553434638, 14.620099162932828, 15.562691641423456, 15.987339640460378, 16.661988997171097, 17.761374747624718, 18.860672031049543, 19.28532002967644, 20.75722611430582, 21.181874113129165]","[829, 829, 829, 829, 829, 829, 829, 829, 829, 829, 829, 829, 829, 829, 829, 829, 829, 829, 829, 829, 829, 829, 829, 829, 829]"
21,"['CH3_002_output/center/1480702713121846149.jpg', 'CH3_002_output/center/1480702714372062342.jpg', 'CH3_002_output/center/1480702752378941894.jpg']","[0.318291649102, 0.34394917419699994, 0.346390785026, 0.334943458338, 0.322798376919, 0.31047419049, 0.290412021708, 0.270447404758, 0.253837897951, 0.237243622618, 0.20046957765, 0.402830778194, 0.391501312809, 0.312870010105, 0.238385533998, 0.114563085984, 0.0602016212096, 0.0401323804168, 0.00523598771542, 0.0186996473827, 0.014433622019799999, -0.069676809227, -0.111130769814, -0.117486337601, -0.120111959064]","[0.0, 4.095145799996453, 7.393300273434654, 7.81794827167504, 7.81794827167504, 7.81794827167504, 7.81794827167504, 7.81794827167504, 7.81794827167504, 7.81794827167504, 7.81794827167504, 8.615115920456653, 9.412283540887127, 10.209525974952884, 11.006693537686488, 11.889220090644661, 12.68638759731699, 13.78568367883916, 14.210331676416901, 14.885068158879132, 16.479477803852202, 17.276645164246354, 18.073812495555583, 18.871054637950895, 19.295702637078328, 20.39499847894806, 21.0697347211215]","[862, 865, 865, 864, 862, 861, 859, 857, 856, 854, 850, 870, 869, 861, 854, 842, 836, 834, 831, 832, 832, 823, 819, 818, 818]"
